Country Name,export,import,fert_rate,child_mort_rate,GDPpc,inflation,life_expectancy,health_exppc,health_exp%,,
Kyrgyz Republic,35.2341542,64.13892235,3.3,18.3,1374.032105,1.133622577,71.6,62.14477539,4.49454117,,
Latvia,59.81407914,60.47386056,1.61,4.1,17945.22222,2.811409201,75.38780488,1166.797852,6.57814217,,
Lebanon,20.55920536,42.00010788,2.13,7.2,8985.572499,3.005389494,79.236,663.0510864,8.64661503,,
Lesotho,44.58838245,90.88102301,3.094,90.9,1102.56487,5.187083592,54.173,124.193634,11.26946354,,
Lithuania,77.32456202,72.00701052,1.61,3.6,19595.14157,2.33450938,76.28292683,1369.979492,7.00600433,,
Luxembourg,204.3208177,173.5221838,1.34,2.8,112621.8213,1.743320757,82.63902439,6220.741211,5.37075996,,
Madagascar,28.42440124,34.1769218,3.978,51.9,512.2796597,5.610514415,65.882,19.84997559,3.68728375,,
Malaysia,65.2777282,57.75078037,1.834,8.6,11132.02393,0.6628918658,75.76,436.61203,3.82514191,,
Maldives,69.4265505,78.42444319,1.736,7,11118.55654,0.2200297311,80.116,854.3706055,8.04001141,,
Mali,25.70529113,37.95341163,6.103,94.2,840.175765,-1.658266948,59.664,34.28177643,3.89389849,,
Malta,146.0894511,129.2008058,1.14,6.5,31198.24145,1.642060018,82.85853659,2531.910889,8.21444321,,
Mauritania,41.57981956,54.60466409,4.521,73,1839.96445,2.300092621,65.687,57.88484573,3.30329728,,
Mauritius,44.0717583,52.21711045,1.4,16,11405.72682,0.4056551903,74.23585366,685.9456177,6.19943714,,
Mexico,38.82128516,39.07606179,1.916,14.1,10145.17018,3.635961421,74.202,540.3723145,5.43305254,,
"Micronesia, Fed. Sts.",31.48058252,73.47087379,2.801,25.4,3699.081514,1.539071461,71.077,415.1982727,11.4420805,,
Moldova,30.56472799,55.33764978,1.78,14.8,4493.370303,4.837783514,70.935,284.3071289,6.3779459,,
Mongolia,59.21723318,65.17928144,2.937,16,4394.947147,7.301069536,71.822,163.441864,3.76607823,,
Montenegro,43.84664144,64.99794262,1.77,2.6,8909.653336,0.3615637045,76.68292683,735.1588745,8.32983208,,
Morocco,34.09305747,41.90505841,2.382,19.5,3498.573975,0.3033860366,74.27,174.2237701,5.30845118,,
Mozambique,32.26836151,79.73055894,4.783,72.9,508.1636746,2.781106312,61.166,39.46094131,7.83351135,,
Myanmar,30.38975072,30.2992385,2.2,45.2,1295.201448,8.825066968,66.61,60.01587296,4.67856407,,
Namibia,36.40088245,46.50026963,3.404,41.9,5126.176144,3.722394144,63.075,427.2562256,8.49700546,,
Nepal,7.779936474,41.46959011,2.08,29.3,1185.682675,5.568685478,69.558,53.24640274,4.44515085,,
Netherlands,82.5377127,72.73296394,1.57,4.1,52476.27325,2.633699102,82.11219512,5335.30127,10.13031101,,
New Zealand,27.31883186,27.02003599,1.72,4.9,42865.23364,1.619631902,81.70731707,4211.046387,9.74117661,,
Nicaragua,45.09278034,49.58319552,2.377,16.6,1890.273065,5.376289908,74.054,160.7587891,8.4039259,,
Niger,11.42173345,26.29263208,6.961,80.3,550.9635555,-2.489792651,62.897,31.39763641,5.6686306,,
Nigeria,14.22092679,19.80295104,5.379,116.9,2204.181574,11.39679497,52.91,71.46572876,3.02666044,,
North Macedonia,62.40805679,76.16817505,1.34,6.8,6070.388054,0.7664395735,76.60243902,436.8871765,7.25409985,,
Norway,36.26310656,34.7812983,1.53,2.3,75719.7529,2.167730033,82.95853659,8007.397949,10.52134705,,
Oman,49.49201699,36.98411667,2.776,11.1,19132.15227,0.1337950575,78.002,624.7444458,4.07190228,,
Pakistan,9.390863379,19.51471242,3.62,67.3,1437.165907,10.5783618,66.756,39.49928665,3.37992716,,
Panama,41.20801007,43.77436448,2.375,14.8,15826.08235,-0.355083821,77.81,1192.820801,7.58405781,,
Paraguay,36.18244072,35.14521459,2.525,19.5,5807.838794,2.757097276,73.621,388.3932495,7.17281008,,
Peru,24.03908743,22.90441794,2.242,13.3,6955.809959,2.252121914,76.156,370.1099548,5.21506882,,
Philippines,28.38292001,40.45892225,2.805,27.1,3413.847924,2.392065344,71.865,142.0787659,4.07676649,,
Poland,53.19533562,49.49337817,1.44,4.4,15699.91135,2.227478809,77.90487805,1014.038208,6.44682503,,
Portugal,43.50842185,43.05629556,1.43,3.4,23330.81729,0.33817841,81.67560976,2221.439209,9.53145981,,
Qatar,52.34726788,37.97242389,1.834,6.1,62637.27511,-0.6666411249,80.99,1807.153931,2.9106288,,
Romania,40.20019466,44.30286636,1.77,7.1,12958.07556,3.827854326,75.60731707,738.5581665,5.74447823,,
Russian Federation,28.43343068,20.79532298,1.504,5.8,11536.25098,4.470366608,73.08390244,653.4172363,5.64849138,,
Rwanda,21.81063968,36.12568778,3.939,41.9,806.8799811,3.34787655,66.437,51.39912415,6.41066742,,
Samoa,35.03333189,48.29775015,4.047,17.4,4308.272753,0.9823265699,72.157,271.9157715,6.36309385,,
Saudi Arabia,35.57169449,27.24445196,2.504,7.3,22430.23823,-2.093333333,77.304,1316.260254,5.68828773,,
Senegal,24.98793278,39.26181475,4.517,39.7,1462.354333,1.758565176,68.526,59.09758377,4.13226938,,
Serbia,51.01092315,60.94367435,1.52,5.7,7417.203649,1.849229845,75.93658537,641.0250244,8.67206478,,
Seychelles,103.3506093,114.4362272,2.36,14.3,17253.50566,2.074764365,74.04634146,839.7733154,5.1902914,,
Sierra Leone,18.24693608,37.94371433,4.192,111.9,506.6068944,14.80499909,60.255,46.15795517,8.74976635,,
Singapore,175.2741157,146.5332956,1.14,2.4,65831.18943,0.5652605688,83.59512195,2632.713867,4.08152914,,
Slovak Republic,91.90112045,91.57724693,1.57,5.8,19383.48104,2.664561334,77.66585366,1342.074829,6.9586463,,
Slovenia,83.69943798,75.09981123,1.61,2.3,26016.07868,1.630522608,81.52926829,2219.100586,8.52386475,,
